time,a.inertia_0,a.inertia_1,a.inertia_2,a.inertia_3,a.inertia_4,a.inertia_5,a.inertia_6
2026-05-06T20:26:47.534141,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.542474,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.550807,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.559140,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.567473,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.575806,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.584139,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.592472,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.600805,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.609138,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.617471,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.625804,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.634137,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.642470,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.650803,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.659136,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.667469,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.675802,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.684135,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.692468,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.700801,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.709134,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.717467,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
