time,a.world_pos_q0,a.world_pos_q1,a.world_pos_q2,a.world_pos_q3,a.world_pos_x,a.world_pos_y,a.world_pos_z
2026-08-21T00:30:45.510046,0.0,0.0,0.0,1.0,0.7313322304750596,0.5041192514271805,0.0
2026-08-21T00:30:45.518379,0.0,0.0,0.0,1.0,0.7265466017219577,0.5110825154380112,0.0
2026-08-21T00:30:45.526712,0.0,0.0,0.0,1.0,0.7217005000518406,0.5180013710223391,0.0
2026-08-21T00:30:45.535045,0.0,0.0,0.0,1.0,0.7167943499525141,0.5248750575608825,0.0
2026-08-21T00:30:45.543378,0.0,0.0,0.0,1.0,0.7118285739757759,0.5317028152396092,0.0
2026-08-21T00:30:45.551711,0.0,0.0,0.0,1.0,0.7068035926672493,0.5384838852353604,0.0
2026-08-21T00:30:45.560044,0.0,0.0,0.0,1.0,0.7017198244980747,0.5452175099136999,0.0
2026-08-21T00:30:45.568377,0.0,0.0,0.0,1.0,0.6965776857991536,0.551902933040329,0.0
2026-08-21T00:30:45.576710,0.0,0.0,0.0,1.0,0.6913775906987475,0.5585394000074422,0.0
2026-08-21T00:30:45.585043,0.0,0.0,0.0,1.0,0.6861199510643367,0.5651261580764161,0.0
2026-08-21T00:30:45.593376,0.0,0.0,0.0,1.0,0.6808051764497562,0.5716624566382387,0.0
2026-08-21T00:30:45.601709,0.0,0.0,0.0,1.0,0.6754336740487333,0.5781475474930801,0.0
2026-08-21T00:30:45.610042,0.0,0.0,0.0,1.0,0.6700058486560594,0.5845806851503912,0.0
2026-08-21T00:30:45.618375,0.0,0.0,0.0,1.0,0.6645221026377391,0.5909611271508766,0.0
2026-08-21T00:30:45.626708,0.0,0.0,0.0,1.0,0.6589828359115635,0.5972881344116331,0.0
2026-08-21T00:30:45.635041,0.0,0.0,0.0,1.0,0.6533884459396555,0.6035609715956621,0.0
2026-08-21T00:30:45.643374,0.0,0.0,0.0,1.0,0.6477393277346338,0.6097789075068559,0.0
2026-08-21T00:30:45.651707,0.0,0.0,0.0,1.0,0.6420358738811254,0.6159412155114187,0.0
2026-08-21T00:30:45.660040,0.0,0.0,0.0,1.0,0.6362784745744352,0.6220471739865124,0.0
2026-08-21T00:30:45.668373,0.0,0.0,0.0,1.0,0.6304675176782452,0.6280960667967114,0.0
2026-08-21T00:30:45.676706,0.0,0.0,0.0,1.0,0.6246033888032556,0.6340871837986026,0.0
2026-08-21T00:30:45.685039,0.0,0.0,0.0,1.0,0.6186864714087116,0.6400198213735873,0.0
2026-08-21T00:30:45.693372,0.0,0.0,0.0,1.0,0.6127171469287497,0.6458932829886124,0.0
2026-08-21T00:30:45.701705,0.0,0.0,0.0,1.0,0.6066957949254761,0.6517068797841966,0.0
2026-08-21T00:30:45.710038,0.0,0.0,0.0,1.0,0.600622793270618,0.6574599311887055,0.0
2026-08-21T00:30:45.718371,0.0,0.0,0.0,1.0,0.5944985183574923,0.663151765557388,0.0
2026-08-21T00:30:45.726704,0.0,0.0,0.0,1.0,0.5883233453448907,0.6687817208342038,0.0
2026-08-21T00:30:45.735037,0.0,0.0,0.0,1.0,0.582097648434289,0.6743491452339601,0.0
2026-08-21T00:30:45.743370,0.0,0.0,0.0,1.0,0.575821801181556,0.6798533979417357,0.0
2026-08-21T00:30:45.751703,0.0,0.0,0.0,1.0,0.5694961768440427,0.6852938498260261,0.0
2026-08-21T00:30:45.760036,0.0,0.0,0.0,1.0,0.5631211487635951,0.6906698841614729,0.0
2026-08-21T00:30:45.768369,0.0,0.0,0.0,1.0,0.5566970907856398,0.6959808973564973,0.0
2026-08-21T00:30:45.776702,0.0,0.0,0.0,1.0,0.5502243777140483,0.7012262996806172,0.0
2026-08-21T00:30:45.785035,0.0,0.0,0.0,1.0,0.5437033858009948,0.7064055159857295,0.0
2026-08-21T00:30:45.793368,0.0,0.0,0.0,1.0,0.537134493270492,0.7115179864151878,0.0
2026-08-21T00:30:45.801701,0.0,0.0,0.0,1.0,0.5305180808737237,0.7165631670941239,0.0
2026-08-21T00:30:45.810034,0.0,0.0,0.0,1.0,0.5238545324737027,0.7215405307941618,0.0
