time,rocket.world_pos_q0,rocket.world_pos_q1,rocket.world_pos_q2,rocket.world_pos_q3,rocket.world_pos_x,rocket.world_pos_y,rocket.world_pos_z
2026-08-21T00:30:43.635704,0.0,0.5724268961639072,0.0,0.8199557601164561,-2.5231229532570683,0.0,7.154185039642409
2026-08-21T00:30:43.644037,0.0,0.5723346128520885,0.0,0.8200201771489833,-2.6199345402322525,0.0,7.387549323906103
2026-08-21T00:30:43.652370,0.0,0.5722373563215489,0.0,0.8200880489496994,-2.7181621337908872,0.0,7.624131292364596
2026-08-21T00:30:43.660703,0.0,0.5721350087711774,0.0,0.8201594550685889,-2.8177826080893067,0.0,7.863866368475684
2026-08-21T00:30:43.669036,0.0,0.5720274566884339,0.0,0.82023447183995,-2.918772862462488,0.0,8.106689966947837
2026-08-21T00:30:43.677369,0.0,0.5719145911805865,0.0,0.8203131721450916,-3.021109820901798,0.0,8.352537494085741
2026-08-21T00:30:43.685702,0.0,0.5717963083037296,0.0,0.8203956251774056,-3.1247704314116103,0.0,8.601344348173882
2026-08-21T00:30:43.694035,0.0,0.5716725093888607,0.0,0.8204818962104179,-3.229731665243756,0.0,8.853045919898651
2026-08-21T00:30:43.702368,0.0,0.5715431013642737,0.0,0.8205720463694262,-3.3359705160091044,0.0,9.107577592809392
2026-08-21T00:30:43.710701,0.0,0.5714079970735191,0.0,0.8206661324073444,-3.4434639986658646,0.0,9.364874743818698
2026-08-21T00:30:43.719034,0.0,0.5712671155881653,0.0,0.8207642064853813,-3.5521891483845565,0.0,9.62487274374219
2026-08-21T00:30:43.727367,0.0,0.571120382514587,0.0,0.8208663159591775,-3.66212301928991,0.0,9.88750695787789
2026-08-21T00:30:43.735700,0.0,0.5709677295598437,0.0,0.8209725036816259,-3.773242680821001,0.0,10.152712747467124
2026-08-21T00:30:43.744033,0.0,0.5708090947630688,0.0,0.8210828078432563,-3.885525216002279,0.0,10.420425470430406
2026-08-21T00:30:43.752366,0.0,0.5706444235315046,0.0,0.8211972612548074,-3.9989477220974488,0.0,10.690580481208489
2026-08-21T00:30:43.760699,0.0,0.5704736689986769,0.0,0.8213158911035316,-4.11348730912608,0.0,10.96311313140197
2026-08-21T00:30:43.769032,0.0,0.5702967922984372,0.0,0.8214387187697652,-4.229121098036159,0.0,11.2379587705348
2026-08-21T00:30:43.777365,0.0,0.5701137628282158,0.0,0.8215657596527822,-4.345826218761184,0.0,11.515052746856538
2026-08-21T00:30:43.785698,0.0,0.5699245585006688,0.0,0.8216970230065447,-4.463579808164497,0.0,11.794330408182834
2026-08-21T00:30:43.794031,0.0,0.5697291659829158,0.0,0.8218325117859547,-4.582359007873885,0.0,12.075727102773435
2026-08-21T00:30:43.802364,0.0,0.5695275809225772,0.0,0.8219722225041899,-4.7021409620099,0.0,12.359178180246989
2026-08-21T00:30:43.810697,0.0,0.5693198081598377,0.0,0.8221161451016793,-4.8229028148117115,0.0,12.644618992531726
2026-08-21T00:30:43.819030,0.0,0.569105861924783,0.0,0.8222642628272554,-4.944621708164683,0.0,12.931984894851025
2026-08-21T00:30:43.827363,0.0,0.5688857660192798,0.0,0.8224165521319821,-5.067274779034246,0.0,13.221211246742753
2026-08-21T00:30:43.835696,0.0,0.5686595539826985,0.0,0.8225729825761351,-5.190839156811016,0.0,13.512233413111126
2026-08-21T00:30:43.844029,0.0,0.5684272692408044,0.0,0.8227335167497688,-5.315291960572448,0.0,13.804986765309756
2026-08-21T00:30:43.852362,0.0,0.5681889652371794,0.0,0.8228981102072743,-5.4406102962667,0.0,14.0994066822544
2026-08-21T00:30:43.860695,0.0,0.5679447055465705,0.0,0.8230667114162857,-5.566771253824715,0.0,14.395428551563828
2026-08-21T00:30:43.869028,0.0,0.5676945639696019,0.0,0.823239261721259,-5.6937519042068585,0.0,14.692987770727099
2026-08-21T00:30:43.877361,0.0,0.5674386246083301,0.0,0.8234156953219962,-5.821529296390787,0.0,14.992019748295428
2026-08-21T00:30:43.885694,0.0,0.5671769819221643,0.0,0.8235959392673479,-5.95008045430754,0.0,15.29245990509671
2026-08-21T00:30:43.894027,0.0,0.566909740763725,0.0,0.8237799134642736,-6.079382373733109,0.0,15.59424367547062
2026-08-21T00:30:43.902360,0.0,0.5666370163942631,0.0,0.8239675307023983,-6.209412019143078,0.0,15.897306508522158
2026-08-21T00:30:43.910693,0.0,0.566358934478313,0.0,0.824158696694144,-6.340153658187196,0.0,16.201603003906765
2026-08-21T00:30:43.919026,0.0,0.5660756309439404,0.0,0.824353310208323,-6.471603787590093,0.0,16.507119652928036
2026-08-21T00:30:43.927359,0.0,0.5657872518163122,0.0,0.8245512632226967,-6.603763832762878,0.0,16.813855685671456
2026-08-21T00:30:43.935692,0.0,0.5654939532393987,0.0,0.8247524409479955,-6.736635259907227,0.0,17.121810311204076
2026-08-21T00:30:43.944025,0.0,0.5651959015808676,0.0,0.8249567217958712,-6.870219575292067,0.0,17.43098271765337
2026-08-21T00:30:43.952358,0.0,0.5648932735234236,0.0,0.8251639773572225,-7.004518324452149,0.0,17.74137207231847
2026-08-21T00:30:43.960691,0.0,0.5645862561443932,0.0,0.8253740723895182,-7.139533091310783,0.0,18.052977521812537
2026-08-21T00:30:43.969024,0.0,0.5642750469836876,0.0,0.8255868648128779,-7.27526549722666,0.0,18.36579819223679
2026-08-21T00:30:43.977357,0.0,0.5639598541002803,0.0,0.8258022057146557,-7.411717199964757,0.0,18.679833189386684
2026-08-21T00:30:43.985690,0.0,0.5636408961173459,0.0,0.8260199393622621,-7.548889892591432,0.0,18.99508159899068
2026-08-21T00:30:43.994023,0.0,0.5633184022562107,0.0,0.8262399032239426,-7.686785302293858,0.0,19.31154248698216
2026-08-21T00:30:44.002356,0.0,0.5629926123592698,0.0,0.8264619279972216,-7.82540518912407,0.0,19.62921489980488
2026-08-21T00:30:44.010689,0.0,0.5626637769020362,0.0,0.82668583764471,-7.96475134466793,0.0,19.94809786475246
2026-08-21T00:30:44.019022,0.0,0.5623321569944847,0.0,0.8269114494369576,-8.104825590639432,0.0,20.268190390342347
2026-08-21T00:30:44.027355,0.0,0.5619980243718672,0.0,0.827138574002034,-8.245629777400813,0.0,20.589491466724684
2026-08-21T00:30:44.035688,0.0,0.5616616613751723,0.0,0.8273670153814939,-8.387165782409014,0.0,20.912000066126485
2026-08-21T00:30:44.044021,0.0,0.5613233609214155,0.0,0.8275965710923932,-8.529435508589108,0.0,21.235715143331547
2026-08-21T00:30:44.052354,0.0,0.5609834264639434,0.0,0.8278270321949952,-8.672440882635385,0.0,21.560635636196466
2026-08-21T00:30:44.060687,0.0,0.5606421719429464,0.0,0.8280581833658162,-8.816183853240807,0.0,21.886760466203114
2026-08-21T00:30:44.069020,0.0,0.560299921726377,0.0,0.8282898029756348,-8.960666389255666,0.0,22.214088539047932
