time,ore_sat.world_vel_ωx,ore_sat.world_vel_ωy,ore_sat.world_vel_ωz,ore_sat.world_vel_x,ore_sat.world_vel_y,ore_sat.world_vel_z
2026-08-20T19:15:40.581841,0.6982032391038538,0.7460001587516623,0.6211178182900566,4932.5001014946965,-5871.616532792548,-2.9165894853412055
2026-08-20T19:15:40.590174,0.6962756657007328,0.7453936867774746,0.6187605554271045,4932.545946666553,-5871.577999740976,-2.957097665458537
2026-08-20T19:15:40.598507,0.6943365939692699,0.7447908988162215,0.6164117933746698,4932.591791400045,-5871.539466167658,-2.9976058452903818
2026-08-20T19:15:40.606840,0.6923860582973539,0.7441916862568567,0.6140716244520853,4932.637635695167,-5871.5009320725985,-3.03811402483314
2026-08-20T19:15:40.615173,0.6904240942275839,0.7435959404997756,0.6117401400179105,4932.683479551914,-5871.4623974558,-3.0786222040832123
2026-08-20T19:15:40.623506,0.6884507384460595,0.7430035529698511,0.609417430466791,4932.729322970285,-5871.423862317265,-3.119130383036998
2026-08-20T19:15:40.631839,0.6864660287711215,0.7424144151293378,0.6071035852264971,4932.775165950273,-5871.385326656999,-3.159638561690897
2026-08-20T19:15:40.640172,0.6844700041420471,0.741828418490645,0.6047986927551404,4932.821008491875,-5871.346790475003,-3.20014674004131
2026-08-20T19:15:40.648505,0.6824627046077018,0.7412454546289762,0.6025028405385652,4932.866850595086,-5871.308253771283,-3.240654918084637
2026-08-20T19:15:40.656838,0.6804441713151516,0.7406654151948366,0.6002161150879137,4932.912692259904,-5871.26971654584,-3.2811630958172775
2026-08-20T19:15:40.665171,0.6784144464982359,0.7400881919264067,0.5979386019373638,4932.958533486324,-5871.23117879868,-3.3216712732356317
2026-08-20T19:15:40.673504,0.6763735734661065,0.7395136766617812,0.5956703856420368,4933.004374274341,-5871.1926405298045,-3.3621794503360998
2026-08-20T19:15:40.681837,0.6743215965917324,0.7389417613510744,0.5934115497760738,4933.050214623951,-5871.154101739217,-3.4026876271150814
2026-08-20T19:15:40.690170,0.6722585613003755,0.7383723380683896,0.5911621769308789,4933.096054535152,-5871.115562426922,-3.443195803568977
2026-08-20T19:15:40.698503,0.6701845140580377,0.7378052990236552,0.5889223487135271,4933.1418940079375,-5871.077022592923,-3.4837039796941864
2026-08-20T19:15:40.706836,0.6680995023598829,0.7372405365743223,0.5866921457453359,4933.187733042305,-5871.038482237222,-3.5242121554871098
2026-08-20T19:15:40.715169,0.6660035747186361,0.7366779432369291,0.5844716476605976,4933.2335716382495,-5870.9999413598225,-3.564720330944147
2026-08-20T19:15:40.723502,0.663896780652962,0.7361174116985276,0.5822609331054718,4933.279409795768,-5870.961399960729,-3.605228506061698
2026-08-20T19:15:40.731835,0.6617791706758247,0.7355588348279741,0.5800600797370351,4933.325247514855,-5870.922858039945,-3.6457366808361633
2026-08-20T19:15:40.740168,0.6596507962828327,0.7350021056870837,0.5778691642224871,4933.371084795507,-5870.884315597473,-3.686244855263942
2026-08-20T19:15:40.748501,0.6575117099405693,0.7344471175416473,0.5756882622385102,4933.41692163772,-5870.845772633317,-3.726753029341435
2026-08-20T19:15:40.756834,0.6553619650749117,0.733893763872312,0.5735174484707816,4933.462758041491,-5870.807229147481,-3.767261203065042
2026-08-20T19:15:40.765167,0.6532016160593422,0.7333419383853245,0.571356796613636,4933.508594006815,-5870.768685139967,-3.807769376431163
2026-08-20T19:15:40.773500,0.6510307182032506,0.7327915350231372,0.5692063793698767,4933.554429533688,-5870.730140610779,-3.8482775494361983
2026-08-20T19:15:40.781833,0.6488493277402334,0.7322424479748776,0.5670662684507328,4933.600264622105,-5870.691595559921,-3.8887857220765474
2026-08-20T19:15:40.790166,0.6466575018163897,0.7316945716866798,0.5649365345759623,4933.646099272063,-5870.653049987395,-3.9292938943486106
2026-08-20T19:15:40.798499,0.6444552984786167,0.7311478008718797,0.562817247474097,4933.691933483558,-5870.614503893206,-3.969802066248788
2026-08-20T19:15:40.806832,0.6422427766629071,0.7306020305210721,0.5607084758828297,4933.737767256586,-5870.575957277357,-4.01031023777348
2026-08-20T19:15:40.815165,0.6400199961826493,0.730057155912032,0.5586102875495392,4933.783600591142,-5870.53741013985,-4.050818408919085
