date,name,naif_id,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
2023-07-14,4 MARS,4,-1.650587360931011,0.13070885137271604,0.04322771090369598,-0.0005825930413727833,-0.012755487420045451,-0.00025303866428034484
2023-07-15,4 MARS,4,-1.651116191492884,0.1179492124928275,0.0429732664630013,-0.0004750454928394841,-0.012763588362648248,-0.0002558465388755645
2023-07-16,4 MARS,4,-1.6515374152905011,0.10518188467376983,0.042716021331644816,-0.00036738084827262445,-0.012770863578992413,-0.000258639976840825
2023-07-17,4 MARS,4,-1.651850917731832,0.09240769448933758,0.04245599002543134,-0.00025960414338100003,-0.01277731138115689,-0.00026141881930013145
2023-07-18,4 MARS,4,-1.6520565892710455,0.0796274701975147,0.042193187219211295,-0.0001517204348674848,-0.01278293008906687,-0.00026418290704506315
2023-07-19,4 MARS,4,-1.6521543254297464,0.06684204173255032,0.04192762774722014,-4.3734800903532064e-05,-0.012787718030653067,-0.0002669320805211697
2023-07-20,4 MARS,4,-1.6521440268186807,0.05405224069686706,0.04165932660343046,6.434765840024791e-05,-0.012791673542024446,-0.0002696661798164161
2023-07-21,4 MARS,4,-1.6520255991599082,0.04125890035278687,0.04138829894191501,0.00017252182053322296,-0.01279479496766637,-0.0002723850446500189
2023-07-22,4 MARS,4,-1.6517989533094368,0.028462855614050167,0.04111456007722045,0.000280782540121331,-0.01279708066064846,-0.0002750885143632982
2023-07-23,4 MARS,4,-1.651464005280319,0.015664943037122493,0.04083812548474962,0.00038912464846984626,-0.012798528982844858,-0.0002777764279109007
2023-07-24,4 MARS,4,-1.6510206762661988,0.0028660008122742935,0.0405590108011523,0.0004975429531099604,-0.01279913830516784,-0.0002804486238531046
2023-07-25,4 MARS,4,-1.6504688926653177,-0.009933131245579038,0.04027723182472298,0.000606032237348602,-0.012798907007812001,-0.00028310494034883803
2023-07-26,4 MARS,4,-1.6498085861049623,-0.022731611706285994,0.039992804515805766,0.0007145872598211794,-0.012797833480508409,-0.00028574521514930593
2023-07-27,4 MARS,4,-1.6490396934663616,-0.03552859753412663,0.039705744997204875,0.0008232027540469439,-0.012795916122788267,-0.0002883692855921421
2023-07-28,4 MARS,4,-1.648162156910028,-0.04832324409774893,0.03941606955460119,0.0009318734279866939,-0.012793153344255815,-0.00029097698859601156
